0-0,0,0,0
0-0,0,1,0
0+1,1,0,1
3+3,6,3,3
3+4,7,3,4
3+4,7,3,3
3+4,7,1,6
3+4,7,5,7
8-3,5,8,3
7/1,7,7,1
10/10,1,10,10
0/6,0,0,6
4*7,28,4,7
7-13,-6,7,13
14+5,19,14,5
1+1,2,1,1
2/7,0.29,2,7
11-9,2,11,9
13-6,7,13,6
13/0,∞,13,0
17+12,29,17,12
7-0,7,7,0
7-0,7,19,10
7-0,7,9,2
20-8,12,20,8
2/8,0.25,2,8
5-17,-12,5,17
16-0,16,16,0
26*23,598,26,23
1/8,0.12,1,8
10*29,290,10,29
13*31,403,13,31
25/4,6.25,25,4
1+6,7,1,6
24*31,744,24,31
29/16,1.81,29,16
29/16,1.81,36,33
29/16,1.81,31,26
36+27,63,36,27
14/8,1.75,14,8
14/8,1.75,3,15
3/14,0.21,3,14
3/14,0.21,23,24
7/32,0.22,7,32
34*26,884,34,26
23+23,46,23,23
8/10,0.8,8,10
16-14,2,16,14
44/44,1,44,44
46+35,81,46,35
27*23,621,27,23
12+29,41,12,29
35/13,2.69,35,13
2*17,34,2,17
16*13,208,16,13
12-13,-1,12,13
13*50,650,13,50
5/0,∞,5,0
56-29,27,56,29
56-29,27,55,9
13*42,546,13,42
60*49,2940,60,49
62*55,3410,62,55
28+25,53,28,25
2/59,0.03,2,59
20/42,0.48,20,42
23-11,12,23,11
22*35,770,22,35
22*35,770,0,22
41/6,6.83,41,6
50*43,2150,50,43
23/10,2.3,23,10
27+65,92,27,65
48*52,2496,48,52
36-44,-8,36,44
5*42,210,5,42
46/66,0.7,46,66
25*44,1100,25,44
25*44,1100,26,14
25*44,1100,5,20
13-1,12,13,1
15+78,93,15,78
15+78,93,35,79
37-53,-16,37,53
2/63,0.03,2,63
61+79,140,61,79
85-42,43,85,42
77+22,99,77,22
42-67,-25,42,67
77+89,166,77,89
45*3,135,45,3
62*11,682,62,11
24-37,-13,24,37
66*57,3762,66,57
28/67,0.42,28,67
26*72,1872,26,72
75-8,67,75,8
37/40,0.93,37,40
43-73,-30,43,73
15/31,0.48,15,31
39+68,107,39,68
49-1,48,49,1
49-1,48,93,10
68+33,101,68,33
68+33,101,17,28
68+33,101,1,35
85+74,159,85,74
85+74,159,101,52
85+74,159,31,10
57*58,3306,57,58
90+100,190,90,100
35/5,7,35,5
53*111,5883,53,111
81*102,8262,81,102
81*102,8262,63,50
20*40,800,20,40
29/98,0.3,29,98
110-79,31,110,79
41/111,0.37,41,111
33-114,-81,33,114
71+116,187,71,116
71+116,187,37,96
14-86,-72,14,86
82/59,1.39,82,59
36/58,0.62,36,58
30*94,2820,30,94
48/123,0.39,48,123
61*48,2928,61,48
114-15,99,114,15
116/107,1.08,116,107
52+92,144,52,92
58*4,232,58,4
34+32,66,34,32
116+51,167,116,51
97-134,-37,97,134
131-0,131,131,0
105-104,1,105,104
105-104,1,38,73
73-74,-1,73,74
73-74,-1,32,25
4-30,-26,4,30
46*134,6164,46,134
46*134,6164,64,10
68*142,9656,68,142
127-75,52,127,75
127-75,52,114,130
143-46,97,143,46
108*66,7128,108,66
60-57,3,60,57
11/1,11,11,1
69+32,101,69,32
77*36,2772,77,36
11-38,-27,11,38
1*17,17,1,17
142+132,274,142,132
59+77,136,59,77
55/11,5,55,11
151/1,151,151,1
74-51,23,74,51
25*120,3000,25,120
158*97,15326,158,97
99/77,1.29,99,77
95/30,3.17,95,30
95/30,3.17,150,122
104-125,-21,104,125
149-61,88,149,61
149-61,88,2,29
102*20,2040,102,20
160*120,19200,160,120
87+113,200,87,113
121-21,100,121,21
65/171,0.38,65,171
38-24,14,38,24
117*61,7137,117,61
83+136,219,83,136
83+136,219,150,26
117*88,10296,117,88
117*88,10296,124,48
90*89,8010,90,89
26*47,1222,26,47
64+53,117,64,53
64+53,117,128,123
64+53,117,51,30
83/16,5.19,83,16
42*175,7350,42,175
42*175,7350,117,9
169*127,21463,169,127
169*127,21463,152,141
127/7,18.14,127,7
136/15,9.07,136,15
60-130,-70,60,130
59-37,22,59,37
59-37,22,108,164
146/30,4.87,146,30
146/30,4.87,89,48
93+161,254,93,161
93+161,254,191,123
84*95,7980,84,95
71+122,193,71,122
71+122,193,187,160
71+122,193,82,188
15+199,214,15,199
112-164,-52,112,164
112-164,-52,33,172
127/137,0.93,127,137
119/181,0.66,119,181
44/26,1.69,44,26
68-86,-18,68,86
11+124,135,11,124
192+20,212,192,20
192+20,212,9,105
13+63,76,13,63
19+122,141,19,122
57*116,6612,57,116
198/209,0.95,198,209
145-131,14,145,131
145-131,14,38,176
58/43,1.35,58,43
58/43,1.35,69,51
153-39,114,153,39
145+41,186,145,41
153*9,1377,153,9
166/136,1.22,166,136
15*174,2610,15,174
15*174,2610,51,148
12-205,-193,12,205
138/93,1.48,138,93
95/89,1.07,95,89
43*116,4988,43,116
43*116,4988,54,1
43*116,4988,37,48
228*225,51300,228,225
199*144,28656,199,144
197-115,82,197,115
119*190,22610,119,190
75+57,132,75,57
57/122,0.47,57,122
57/122,0.47,5,229
57/122,0.47,164,138
9-45,-36,9,45
143*198,28314,143,198
182*211,38402,182,211
28-196,-168,28,196
98+225,323,98,225
35/193,0.18,35,193
35/193,0.18,215,123
115+55,170,115,55
233+56,289,233,56
63+244,307,63,244
215/196,1.1,215,196
39/205,0.19,39,205
107+195,302,107,195
64/15,4.27,64,15
194+195,389,194,195
194+195,389,213,148
216+71,287,216,71
234+39,273,234,39
145-128,17,145,128
202/61,3.31,202,61
209*33,6897,209,33
236*211,49796,236,211
236*211,49796,193,200
236*211,49796,210,41
167*162,27054,167,162
194*131,25414,194,131
87+186,273,87,186
46/40,1.15,46,40
46/40,1.15,60,51
108-52,56,108,52
74*16,1184,74,16
74*16,1184,15,260
74*16,1184,99,108
260*204,53040,260,204
214/7,30.57,214,7
263+77,340,263,77
188*71,13348,188,71
7*0,0,7,0
255*100,25500,255,100
52*173,8996,52,173
52*173,8996,49,220
234*201,47034,234,201
12*58,696,12,58
12*58,696,246,138
166/240,0.69,166,240
37*169,6253,37,169
140+16,156,140,16
124/37,3.35,124,37
124/37,3.35,29,170
4+111,115,4,111
223+239,462,223,239
272*55,14960,272,55
159/55,2.89,159,55
140*185,25900,140,185
144*61,8784,144,61
107-131,-24,107,131
206*95,19570,206,95
206*95,19570,173,33
47-106,-59,47,106
135+287,422,135,287
15*188,2820,15,188
203-86,117,203,86
179*250,44750,179,250
15/110,0.14,15,110
173-77,96,173,77
145-214,-69,145,214
29-70,-41,29,70
202-46,156,202,46
202-46,156,252,15
228+25,253,228,25
291/170,1.71,291,170
171/75,2.28,171,75
92+170,262,92,170
255+273,528,255,273
255+273,528,261,119
67+31,98,67,31
67+31,98,241,44
210*240,50400,210,240
210*240,50400,67,245
191+309,500,191,309
47/212,0.22,47,212
47/212,0.22,302,13
24/134,0.18,24,134
24/134,0.18,267,113
76*277,21052,76,277
2*17,34,2,17
159+14,173,159,14
33/302,0.11,33,302
31/293,0.11,31,293
167*197,32899,167,197
208*291,60528,208,291
152*21,3192,152,21
237-1,236,237,1
99/194,0.51,99,194
261*326,85086,261,326
144+258,402,144,258
147*143,21021,147,143
180/296,0.61,180,296
290+189,479,290,189
290+189,479,221,159
153+15,168,153,15
149/264,0.56,149,264
295-178,117,295,178
180-308,-128,180,308
93-103,-10,93,103
241-100,141,241,100
131/165,0.79,131,165
131/165,0.79,191,220
17+321,338,17,321
254*319,81026,254,319
254*319,81026,12,146
117/84,1.39,117,84
117/84,1.39,324,268
281*43,12083,281,43
68-326,-258,68,326
68-326,-258,120,48
9*36,324,9,36
9*36,324,302,2
251/144,1.74,251,144
251/144,1.74,139,60
251/144,1.74,341,151
251/144,1.74,149,133
250/319,0.78,250,319
65/255,0.25,65,255
57-250,-193,57,250
57-250,-193,209,272
78*307,23946,78,307
366-72,294,366,72
112*347,38864,112,347
5/232,0.02,5,232
285*310,88350,285,310
285+327,612,285,327
256/193,1.33,256,193
111+317,428,111,317
311-107,204,311,107
258/24,10.75,258,24
26*349,9074,26,349
196+271,467,196,271
38/7,5.43,38,7
271+154,425,271,154
245+245,490,245,245
347/343,1.01,347,343
204*212,43248,204,212
358-235,123,358,235
102-301,-199,102,301
102-301,-199,329,159
102-301,-199,301,293
217-156,61,217,156
165*297,49005,165,297
363+247,610,363,247
327/164,1.99,327,164
327/164,1.99,134,57
327/164,1.99,251,170
325+150,475,325,150
321/261,1.23,321,261
321/261,1.23,134,359
380/342,1.11,380,342
72/321,0.22,72,321
47+329,376,47,329
25+133,158,25,133
34+95,129,34,95
34+95,129,82,96
52+143,195,52,143
399-275,124,399,275
193*214,41302,193,214
13+74,87,13,74
389-60,329,389,60
91-306,-215,91,306
158*35,5530,158,35
300-214,86,300,214
115-235,-120,115,235
268-307,-39,268,307
205*338,69290,205,338
11-215,-204,11,215
307-268,39,307,268
65/109,0.6,65,109
65/109,0.6,194,243
193/290,0.67,193,290
312-207,105,312,207
62+273,335,62,273
141/398,0.35,141,398
275/318,0.86,275,318
235*307,72145,235,307
363*125,45375,363,125
191*41,7831,191,41
205*258,52890,205,258
205*258,52890,126,192
205*258,52890,58,47
205*258,52890,86,251
24-145,-121,24,145
135-119,16,135,119
135-119,16,56,317
388*295,114460,388,295
238/139,1.71,238,139
238/139,1.71,40,258
377*328,123656,377,328
377*328,123656,394,18
263-168,95,263,168
225/251,0.9,225,251
60*282,16920,60,282
60*282,16920,236,242
60*282,16920,257,419
60*282,16920,160,79
376+133,509,376,133
287-49,238,287,49
53/358,0.15,53,358
426+95,521,426,95
158*92,14536,158,92
5+90,95,5,90
53/172,0.31,53,172
53/172,0.31,293,97
330/221,1.49,330,221
344+308,652,344,308
280/394,0.71,280,394
48/48,1,48,48
300-56,244,300,56
396/56,7.07,396,56
286/81,3.53,286,81
286/81,3.53,115,417
114-187,-73,114,187
114-187,-73,342,336
362-138,224,362,138
74*212,15688,74,212
50/108,0.46,50,108
450+222,672,450,222
404+222,626,404,222
404+222,626,27,214
80-188,-108,80,188
402*21,8442,402,21
402*21,8442,73,66
340-458,-118,340,458
123+147,270,123,147
306-248,58,306,248
306-248,58,455,157
207/444,0.47,207,444
166+189,355,166,189
140+30,170,140,30
26+386,412,26,386
393-417,-24,393,417
308*401,123508,308,401
185*288,53280,185,288
104*363,37752,104,363
330+333,663,330,333
330+333,663,81,390
79+191,270,79,191
339+427,766,339,427
64/167,0.38,64,167
64/167,0.38,329,472
64/167,0.38,477,420
146-344,-198,146,344
154/416,0.37,154,416
349+272,621,349,272
144*340,48960,144,340
89/247,0.36,89,247
89/247,0.36,52,224
89/247,0.36,93,457
264*272,71808,264,272
390*425,165750,390,425
249*88,21912,249,88
119/305,0.39,119,305
411+151,562,411,151
141*205,28905,141,205
141*205,28905,384,4
141*205,28905,192,89
